id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
134099114,02215c02-c9de-4063-a002-dba5e9c96b96,2022-09-06 21:10:00-07:00,2022-09-06,2022-09-07 04:10:00 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-07 22:20:47 UTC,2022-09-17 00:08:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/134099114,https://inaturalist-open-data.s3.amazonaws.com/photos/228519035/medium.jpg,,"","",1,0,false,3,"Calabasas Country Club, Calabasas, CA, US",34.1362655,-118.663006,3062,,,,3062,,,false,,,Garden Snail,Cornu aspersum,Garden Snail,Mollusca,480298
134111542,693f5753-3975-4f91-9a51-d852134080a2,2022-03-16 18:50:00-07:00,2022-03-16,2022-03-17 01:50:00 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-08 00:16:30 UTC,2022-11-27 03:11:05 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/134111542,https://inaturalist-open-data.s3.amazonaws.com/photos/228542792/medium.jpg,,"","",4,0,false,3,"Cambridge St, Cambria, CA, US",35.5637133333,-121.1066278333,4,,,,4,,open,false,,,Columbian Black-tailed Deer,Odocoileus hemionus,Mule Deer,Mammalia,42220
134111694,a73650c2-4c17-4011-9ffb-020f86d05152,2022-07-23 17:00:00-10:00,2022-07-23,2022-07-24 03:00:00 UTC,Hawaii,6118043,hunter3ross,,2022-09-08 00:18:07 UTC,2022-09-08 05:29:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/134111694,https://inaturalist-open-data.s3.amazonaws.com/photos/228543171/medium.jpg,,"","",2,0,false,3,"Royal Hawaiian Center, Honolulu, HI, US",21.2785666667,-157.8287366667,14,,,,14,,open,false,,,Rhinella marina,Rhinella marina,Cane Toad,Amphibia,553515
134111932,f4924a71-6dc5-44a1-b806-5cb34c16c8fb,2022-07-25 15:00:00-07:00,2022-07-25,2022-07-25 22:00:00 UTC,Hawaii,6118043,hunter3ross,,2022-09-08 00:20:44 UTC,2022-09-08 00:42:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/134111932,https://inaturalist-open-data.s3.amazonaws.com/photos/228543721/medium.jpg,,"","",2,0,false,3,"Oʻahu, Honolulu, HI, US",21.32551245,-157.856486,5686,,,,5686,,open,false,,,Black-crowned Night-Heron,Nycticorax nycticorax,Black-crowned Night Heron,Aves,4981
134112071,219fb985-f5f6-4db1-9fdb-4f0676bbf781,2022-01-15 18:03:00-08:00,2022-01-15,2022-01-16 02:03:00 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-08 00:22:02 UTC,2022-09-08 00:22:09 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/134112071,https://inaturalist-open-data.s3.amazonaws.com/photos/228544022/medium.jpg,,"","",0,0,false,3,"Masterson Dr, Thousand Oaks, CA, US",34.1843833333,-118.864975,7,,,,7,,,false,,,"",Araneinae,Typical Orbweavers,Arachnida,417879
134112150,5efdab92-21ad-40cd-8429-c8cbd5b2c6b1,2022-05-07 14:28:00-07:00,2022-05-07,2022-05-07 21:28:00 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-08 00:22:53 UTC,2022-10-22 22:09:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/134112150,https://inaturalist-open-data.s3.amazonaws.com/photos/228544203/medium.jpg,,"","",2,0,false,3,"Botanic Garden Nature Trail, Thousand Oaks, CA, US",34.1923633333,-118.8821333333,6,,,,6,,open,false,,,Monarch,Danaus plexippus,Monarch,Insecta,48662
134112382,26c500fb-64f3-44ac-a6b1-46d1d9ced7b3,2022-05-28 10:50:00-07:00,2022-05-28,2022-05-28 17:50:00 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-08 00:24:35 UTC,2023-02-08 21:38:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/134112382,https://inaturalist-open-data.s3.amazonaws.com/photos/228544523/medium.jpg,,"","",1,0,false,3,"San Luis Obispo, CA, US",35.19960895,-120.719946,1731,,,,1731,,,false,,,California poppy,Eschscholzia californica,California poppy,Plantae,48225
134245189,2c3052b8-e86b-4417-be8a-4df69eba24ce,2022-05-28 10:31:00-07:00,2022-05-28,2022-05-28 17:31:00 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-09 00:52:54 UTC,2022-11-11 09:27:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/134245189,https://inaturalist-open-data.s3.amazonaws.com/photos/228791189/medium.jpg,,"","",3,1,false,3,"Spooners Cove, CA, US",35.2749250025,-120.888595,20,,,,20,,,false,,,Northern Kelp Crab,Pugettia producta,Northern Kelp Crab,Animalia,49723
134245517,e87a3df7-492a-4ddb-a038-4d448f4da7df,2022-05-03 13:48:00-07:00,2022-05-03,2022-05-03 20:48:00 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-09 00:56:07 UTC,2022-09-22 03:17:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/134245517,https://inaturalist-open-data.s3.amazonaws.com/photos/228791850/medium.jpg,,"","",2,0,false,3,"Cabrillo Hwy, CA, US",35.6268783333,-121.1593333333,5,,,,5,,,false,,,California Mussel,Mytilus californianus,California Mussel,Mollusca,62806
134246147,025d7202-ec52-43a5-b894-99ae00ed2df0,2022-09-08 17:59:20-07:00,2022-09-08,2022-09-09 00:59:20 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-09 01:01:42 UTC,2022-09-09 01:01:46 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/134246147,https://inaturalist-open-data.s3.amazonaws.com/photos/228792848/medium.jpg,,"","",0,0,false,3,"W Hillcrest Dr, Thousand Oaks, CA, US",34.187749,-118.889065,6037,,,,6037,,,false,,,"",Latrodectus hesperus,Western Black Widow,Arachnida,47382
134373080,eb449e06-6afc-4942-8e26-84bb9a4c781c,2022-09-09 17:20:05-07:00,2022-09-09,2022-09-10 00:20:05 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-10 01:50:33 UTC,2022-09-30 00:20:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/134373080,https://inaturalist-open-data.s3.amazonaws.com/photos/229031453/medium.jpg,,"","",3,1,false,3,"Santa Barbara Channel, Goleta, CA, US",34.4314716667,-119.9173366667,8,,,,8,,open,false,,,Snowy Egret,Egretta thula,Snowy Egret,Aves,4940
134621993,f0f34f8e-609b-4f6b-99d2-522031e79fbb,2022-09-09 22:52:19-07:00,2022-09-09,2022-09-10 05:52:19 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-11 18:56:58 UTC,2024-05-06 21:43:49 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/134621993,https://inaturalist-open-data.s3.amazonaws.com/photos/229495838/medium.jpg,,"","",3,0,false,3,"Del Playa Dr, Goleta, CA, US",34.4087366667,-119.8543783333,12,,,,12,,open,false,,,Cottontail Rabbits,Sylvilagus,Cottontail Rabbits,Mammalia,43096
135159028,92e0e52a-0b79-487e-b34b-b28dc805bb54,2022-09-12 18:26:40-07:00,2022-09-12,2022-09-13 01:26:40 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-15 19:34:48 UTC,2024-10-12 17:06:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/135159028,https://inaturalist-open-data.s3.amazonaws.com/photos/230486092/medium.jpg,,"","",1,0,false,3,"Alicade, Newport Beach, CA, US",33.6416583333,-117.863075,4,,,,4,,,false,,,Arizona Mantis,Stagmomantis limbata,Arizona Mantis,Insecta,121308
135195572,d571aa52-9e5c-4ff6-9bc5-fba80d4c7f5c,2022-09-15 17:47:11-07:00,2022-09-15,2022-09-16 00:47:11 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-16 00:50:01 UTC,2022-09-16 15:39:04 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/135195572,https://inaturalist-open-data.s3.amazonaws.com/photos/230552681/medium.jpg,,"","honestly i have no idea what kind of spider this is but it’s kinda banded, but it looks like it’s longer then the garden spider.",2,0,false,3,"Santa Monica Mountains National Recreation Area, Calabasas, CA, US",34.1293195,-118.6632783333,4,,,,4,,,false,,,Araneoid Spiders,Araneoidea,Orbweavers and Allies,Arachnida,319384
135201033,14a6f5c1-87ae-4f6b-80aa-b60396fa2fea,2022-09-15 18:52:36-07:00,2022-09-15,2022-09-16 01:52:36 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-16 01:53:54 UTC,2022-09-16 02:37:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/135201033,https://inaturalist-open-data.s3.amazonaws.com/photos/230563600/medium.jpg,,"","",1,0,false,3,"Santa Monica Mountains National Recreation Area, Calabasas, CA, US",34.1292805,-118.6631783333,16,,,,16,,,false,,,Western Honey Bee,Apis mellifera,Western Honey Bee,Insecta,47219
135419096,c8fe7ea9-5d75-4b2a-9053-871c09089be2,2022-09-17 12:33:44-07:00,2022-09-17,2022-09-17 19:33:44 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-17 19:36:39 UTC,2022-09-19 00:41:59 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/135419096,https://inaturalist-open-data.s3.amazonaws.com/photos/231310693/medium.jpg,,"","",0,0,false,3,"Collins St, Los Angeles, CA, US",34.174305,-118.4464866667,4,,,,4,,,false,,,"",Hellula rogatalis,Cabbage Webworm Moth,Insecta,210616
135845337,768b2315-b869-471a-9833-b3f8f1a9c7c4,2022-09-20 15:30:08-07:00,2022-09-20,2022-09-20 22:30:08 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-20 22:36:36 UTC,2025-01-12 00:55:57 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/135845337,https://inaturalist-open-data.s3.amazonaws.com/photos/231759661/medium.jpg,,"","",2,0,false,3,"W Hillcrest Dr, Thousand Oaks, CA, US",34.187749,-118.889065,6037,,,,6037,,,false,,,Crab Spiders,Coriarachnini,,Arachnida,1472448
136227633,ca99bb91-dd11-4432-869f-06345e36749f,2022-09-21 13:48:51-07:00,2022-09-21,2022-09-21 20:48:51 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-24 01:41:32 UTC,2022-09-24 04:15:20 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/136227633,https://inaturalist-open-data.s3.amazonaws.com/photos/232489376/medium.jpg,,"","",0,0,false,3,"Masterson Dr, Thousand Oaks, CA, US",34.1842216667,-118.8649,22,,,,22,,,false,,,"",Steatoda,False Widow Spiders,Arachnida,61998
136348307,74bb69f4-f8cc-4dc8-abc9-8001c444b563,2022-09-24 15:11:47-07:00,2022-09-24,2022-09-24 22:11:47 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-24 22:31:47 UTC,2022-10-13 17:27:28 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/136348307,https://inaturalist-open-data.s3.amazonaws.com/photos/232686264/medium.jpg,,"","",1,0,false,3,"Newport Blvd, Newport Beach, CA, US",33.616525,-117.9296283333,19,,,,19,,,false,,,"Ants, Bees, Wasps, and Sawflies",Hymenoptera,"Ants, Bees, Wasps, and Sawflies",Insecta,47201
136348379,b67da87d-8f80-4f47-92fa-b2c0052f3b0c,2022-09-24 12:43:44-07:00,2022-09-24,2022-09-24 19:43:44 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-24 22:32:34 UTC,2024-06-14 06:04:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/136348379,https://inaturalist-open-data.s3.amazonaws.com/photos/232686444/medium.jpg,,"","",1,0,false,3,"Entrance Channel, Newport Beach, CA, US",33.619445,-117.9284283333,11,,,,11,,,false,,,Pacific Oyster,Magallana gigas,Pacific Oyster,Mollusca,605992
136348504,e4ed9dcd-a3c3-4d66-8696-279b212b6067,2022-09-24 12:43:39-07:00,2022-09-24,2022-09-24 19:43:39 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-24 22:33:45 UTC,2022-09-25 00:35:56 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/136348504,https://inaturalist-open-data.s3.amazonaws.com/photos/232686785/medium.jpg,,"","",1,0,false,3,"Entrance Channel, Newport Beach, CA, US",33.6194883333,-117.9284216667,19,,,,19,,,false,,,Striped Shore Crab,Pachygrapsus crassipes,Striped Shore Crab,Animalia,47188
136348674,fee6b402-d9a1-4d12-976d-26f74ff0e432,2022-09-24 15:05:49-07:00,2022-09-24,2022-09-24 22:05:49 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-24 22:35:17 UTC,2022-09-24 22:35:24 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/136348674,https://inaturalist-open-data.s3.amazonaws.com/photos/232687085/medium.jpg,,"","",0,0,false,3,"Newport Blvd, Newport Beach, CA, US",33.61652,-117.9295966667,35,,,,35,,,false,,,"",Gymnopilus ventricosus,Western Jumbo Gym,Fungi,348809
136856661,f4b247a9-ef15-4a03-8ed1-0fbb785352e6,2022-09-26 20:43:03-07:00,2022-09-26,2022-09-27 03:43:03 UTC,Arizona,6118043,hunter3ross,,2022-09-28 22:30:17 UTC,2022-09-28 22:30:22 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/136856661,https://inaturalist-open-data.s3.amazonaws.com/photos/233635522/medium.jpg,,"","",0,0,false,3,"",,,,,,,,,,false,,,"",Neoscona,Spotted Orbweavers,Arachnida,85035
136856799,3609ce10-f2bf-4123-8408-88c58a83e79b,,,,UTC,6118043,hunter3ross,,2022-09-28 22:31:43 UTC,2022-09-28 22:31:47 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/136856799,https://inaturalist-open-data.s3.amazonaws.com/photos/233635757/medium.jpg,,"","",0,0,false,3,"",,,,,,,,,,false,,,"",Theraphosidae,Tarantulas,Arachnida,47424
136946966,55327ede-be82-4f3c-98af-c2c268f4a43f,2022-09-29 12:06:00-07:00,2022-09-29,2022-09-29 19:06:00 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-09-29 19:15:19 UTC,2022-09-29 19:43:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/136946966,https://inaturalist-open-data.s3.amazonaws.com/photos/233803308/medium.jpg,,"","",1,0,false,3,"Queens Garden Ct, Thousand Oaks, CA, US",34.1297305,-118.877555,27,,,,27,,open,false,,,California Striped Racer,Masticophis lateralis lateralis,California Striped Racer,Reptilia,734682
138655110,9f445dab-d81a-4fc8-8afe-992fb3953ab8,2022-10-12 13:00:00-07:00,2022-10-12,2022-10-12 20:00:00 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-10-13 21:39:36 UTC,2024-11-10 02:26:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/138655110,https://inaturalist-open-data.s3.amazonaws.com/photos/237030439/medium.jpg,,"","I saw this Giant Swallowtail lay eggs on this lemon tree, and i was able to find three of the eggs!",1,0,false,3,"Flintridge Ct, Thousand Oaks, CA, US",34.20988,-118.8375633333,12,,,,12,,open,false,,,Western Giant Swallowtail,Heraclides rumiko,Western Giant Swallowtail,Insecta,428606
138783199,90afad40-714b-4232-920e-f18a2c9c9c76,2022-10-14 17:53:53-07:00,2022-10-14,2022-10-15 00:53:53 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-10-15 00:54:27 UTC,2022-12-07 11:43:21 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/138783199,https://inaturalist-open-data.s3.amazonaws.com/photos/237260504/medium.jpg,,"","",2,0,false,3,"Flintridge Ct, Thousand Oaks, CA, US",34.2098166667,-118.8376216667,6,,,,6,,,false,,,Arthropods,Arthropoda,Arthropods,Animalia,47120
142081183,ad8e7b87-fcc1-4679-b361-639334891136,2022-11-11 14:31:53-08:00,2022-11-11,2022-11-11 22:31:53 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-11-15 17:46:17 UTC,2022-11-15 17:46:30 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/142081183,https://inaturalist-open-data.s3.amazonaws.com/photos/243533432/medium.jpg,,"","",0,0,false,3,"Hampshire Rd, Thousand Oaks, CA, US",34.1583528333,-118.8347633333,24,,,,24,,,false,,,"",Pluteus petasatus,scaly shield,Fungi,347897
142262574,1a3665b5-df7c-46d9-8050-3eef5ca43067,2022-11-16 11:01:03-08:00,2022-11-16,2022-11-16 19:01:03 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-11-18 02:29:52 UTC,2022-11-18 07:33:37 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/142262574,https://inaturalist-open-data.s3.amazonaws.com/photos/243886892/medium.jpg,,"","",1,0,false,3,"Coleman Dr, Morro Bay, CA, US",35.3696283333,-120.8644166667,12,,,,12,,open,false,,,Great Blue Heron,Ardea herodias,Great Blue Heron,Aves,4956
143231491,1de0c156-c2df-4f13-b874-31176298edbe,2022-11-28 17:48:37-08:00,2022-11-28,2022-11-29 01:48:37 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-11-29 01:51:52 UTC,2022-11-30 04:53:30 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/143231491,https://inaturalist-open-data.s3.amazonaws.com/photos/245794048/medium.jpg,,"","",0,0,false,3,"Masterson Dr, Thousand Oaks, CA, US",34.18433,-118.86487,13,,,,13,,,false,,,"",Lycosoidea,Wolf Spiders and Allies,Arachnida,367161
143820796,01ca4136-fc7f-4e1d-bc65-a8794fc73703,2022-12-05 15:25:27-08:00,2022-12-05,2022-12-05 23:25:27 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-12-06 21:55:18 UTC,2022-12-08 17:12:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/143820796,https://inaturalist-open-data.s3.amazonaws.com/photos/246722556/medium.jpg,,"","",2,0,false,3,"Moorpark College Bookstore, Moorpark, CA, US",34.30143,-118.8357916667,10,,,,10,,open,false,,,Fungo dell'inchiostro,Coprinus comatus,Shaggy Mane,Fungi,47392
144044757,b1b917af-8a2a-488d-817c-0d56a7ccc322,2022-12-06 00:20:38-08:00,2022-12-06,2022-12-06 08:20:38 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-12-10 02:20:24 UTC,2024-04-29 07:56:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/144044757,https://inaturalist-open-data.s3.amazonaws.com/photos/247147245/medium.jpg,,"","",4,0,false,3,"University Shopping Center, Thousand Oaks, CA, US",34.218987,-118.8691706,34,,,,34,,open,false,,,Great Horned Owl,Bubo virginianus,Great Horned Owl,Aves,20044
144161645,b90bcb2e-06ee-493d-9c45-f002ef37cc16,2022-12-10 19:37:47-08:00,2022-12-10,2022-12-11 03:37:47 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-12-11 17:05:15 UTC,2023-08-19 03:43:26 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/144161645,https://inaturalist-open-data.s3.amazonaws.com/photos/247373502/medium.jpg,,"","",2,0,false,3,"S Westlake Blvd, Thousand Oaks, CA, US",34.1605611667,-118.8241366667,35,,,,35,,,false,,,"True Bugs, Hoppers, Aphids, and allies",Hemiptera,"True Bugs, Hoppers, Aphids, and allies",Insecta,47744
144490562,90c24c6f-61cc-49c4-a7a9-f9c1c15a8f25,2022-08-09 19:50:14-07:00,2022-08-09,2022-08-10 02:50:14 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-12-16 19:45:23 UTC,2022-12-18 07:22:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/144490562,https://inaturalist-open-data.s3.amazonaws.com/photos/248000320/medium.jpg,,"","",2,0,false,3,"Del Playa Dr, Goleta, CA, US",34.40893,-119.8543783333,12,,,,12,,,false,,,Torpedo Bug,Siphanta acuta,Torpedo Bug,Insecta,116658
144490592,1000c4c4-7a90-427a-8f8e-56162554677b,2022-12-15 13:59:55-08:00,2022-12-15,2022-12-15 21:59:55 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-12-16 19:46:20 UTC,2022-12-17 07:13:47 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/144490592,https://inaturalist-open-data.s3.amazonaws.com/photos/248000465/medium.jpg,,"","",1,0,false,3,"Triunfo Canyon Rd, Thousand Oaks, CA, US",34.1490833333,-118.8386783333,5,,,,5,,,false,,,Buttonhook Leaf-beetle Jumping Spider,Sassacus vitis,Buttonhook Leafbeetle Jumping Spider,Arachnida,230433
145012807,5b81e6b2-e0cc-4952-97ee-fcaf1b4a230a,2022-12-24 15:11:12-08:00,2022-12-24,2022-12-24 23:11:12 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-12-24 23:14:08 UTC,2022-12-25 15:49:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/145012807,https://inaturalist-open-data.s3.amazonaws.com/photos/249018877/medium.jpg,,"","",1,0,false,3,"Masterson Dr, Thousand Oaks, CA, US",34.1844333333,-118.86493,4,,,,4,,,false,,,Noble False Widow,Steatoda nobilis,Noble False Widow,Arachnida,366894
145015880,c612b4bd-add7-4b4f-bb24-c245692d33b7,2022-12-21 08:49:43-08:00,2022-12-21,2022-12-21 16:49:43 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-12-25 00:20:37 UTC,2022-12-30 12:53:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/145015880,https://inaturalist-open-data.s3.amazonaws.com/photos/249024649/medium.jpg,,"","",2,0,false,3,"Higuera St, San Luis Obispo, CA, US",35.272157,-120.6705875,3166,,,,3166,,,false,,,Noble False Widow,Steatoda nobilis,Noble False Widow,Arachnida,366894
145446585,b30e8bc3-7baf-4a8f-82c3-e2ad267d1ae9,2022-12-29 16:22:04-08:00,2022-12-29,2022-12-30 00:22:04 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2022-12-30 19:50:29 UTC,2022-12-30 20:27:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/145446585,https://inaturalist-open-data.s3.amazonaws.com/photos/249827839/medium.jpg,,"","",1,0,false,3,"Alicante, Newport Beach, CA, US",33.641425,-117.8634416667,22,,,,22,,open,false,,,Coyote,Canis latrans,Coyote,Mammalia,42051
145861318,5bb5ba14-cb2d-4210-b26d-07e3e786236c,2023-01-04 15:47:41-08:00,2023-01-04,2023-01-04 23:47:41 UTC,Pacific Time (US & Canada),6118043,hunter3ross,,2023-01-04 23:54:06 UTC,2023-01-06 18:19:29 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/145861318,https://inaturalist-open-data.s3.amazonaws.com/photos/250636284/medium.jpg,,"","",0,0,false,3,"Janss Marketplace, Thousand Oaks, CA, US",34.1825416667,-118.8768383333,3,,,,3,,,false,,,"",Psathyrellaceae,Brittlestems and Allies,Fungi,56310
